,Years,Chunichi_base_runs,Hanshin_base_runs,Hiroshima_base_runs,Yakult_base_runs,Yokohama_base_runs,Yomiuri_base_runs
0,2019,191.99866231914723,172.99856518048824,172.99859583302683,149.9984564976653,132.9985987921723,133.99843282764692
1,2018,141.99849682770602,139.99850896888492,143.99851265037123,147.9983924447247,135.998517572288,135.99849592538945
2,2017,151.99850704574155,134.99850594292872,161.99853659053764,140.99855302320762,135.9985761848576,186.99863447550905
3,2016,155.99853965940153,114.99849315137054,137.99842532213844,120.99836653077759,105.99841299298144,153.99840608551415
4,2015,143.9984683497349,169.99859652712627,139.99844255117895,95.9982829384425,100.99866930998816,156.99862660729343
5,2014,131.99852535709906,94.9986476175843,181.9985705555477,157.99847510409742,143.9986942864006,122.99851871205878
6,2013,97.9985994076676,118.99845733224072,160.99867854556678,157.99860122999178,84.99832303219601,154.99851398715603
7,2012,160.99858483483405,165.99855751431156,205.99873244136865,140.99864052207005,76.99836270422658,159.99853212925692
8,2011,134.99842959497445,184.99858774524597,86.99830658829856,159.99850335867694,137.99859458792065,134.99851550003513
9,2010,131.9983116518388,140.99834162072523,105.99838077720689,140.99844493793483,100.99848337367216,157.9986510299722
10,2009,136.9985731906396,86.99845650145983,122.99861072655337,119.99834696716061,85.99845355848433,136.99861502097212
11,2008,178.99866325966502,94.99857618876104,164.99859134886862,147.99858274099853,140.99874213597155,106.99847197959905
12,2007,108.99852981903587,111.99859925361281,167.99859993016705,101.99847618400592,124.99859436660545,113.99859045447091
13,2006,139.9987206281676,133.99868548072052,131.99864599980006,123.99851155952719,125.99843831975281,128.9985177683332
14,2005,168.99851011360633,173.9987701815208,153.9987229772072,90.99855199246198,105.99865511939852,134.9985792596937
15,2004,111.99856154731933,83.99862305667082,140.9985893221419,128.99863516426407,103.99864133274201,148.99867101197572
16,2003,98.99852411093775,92.99852533426748,52.998326749011994,181.99863983288617,127.99855934847447,139.99854413193313
17,2002,158.99863523785353,103.99848176564417,101.99850328924516,148.99868479859998,132.99858569318005,155.9985319743037
18,2001,120.99859871328074,219.99874525289852,155.9987247155729,137.99859735600444,113.99840180317771,196.99876567379002
19,2000,137.9986384698764,88.99839971610506,153.9987653129798,143.9985388049191,140.99856329124646,152.9986886378837
20,1999,125.99855574316945,89.9984449124851,101.99852855242052,107.99860317914475,85.9985675025278,191.9987270062473
21,1998,71.99850552527462,113.99865723865301,166.99867051081716,159.99866822098025,90.99853664699106,105.9984130209422
22,1997,82.99838981273994,78.99852238729487,152.99876678187488,142.99856433924592,107.99856259077832,186.99869803691615
23,1996,136.99848795241206,135.99853534948693,76.99835724364948,139.99863450762876,134.99858097701755,144.99863952601132
24,1995,108.99855327350473,86.99846789381684,154.99856065567207,173.99866200053987,194.9986944186547,186.99870571215595
25,1994,136.99863875215289,97.99849106594614,164.99869049062926,132.9984831490184,121.99858123408048,147.99854360374698
26,1993,140.99861315216089,140.99880340202853,126.99862717853755,161.99868848721994,97.99845507898917,139.99857623201999
27,1992,149.9985351444114,58.998396178586965,155.99853680663193,97.99844582034787,87.99843620448763,94.99858498183315
28,1991,179.99869201640334,90.99847579881798,132.998611875261,103.9985219999922,114.99856513282182,98.99851162396567
29,1990,111.99863734360487,111.9983573479021,175.99881442887414,85.99848168386835,112.99850390067866,182.99869858429904
30,1989,121.99870430776264,82.99831530480883,88.99846761541254,130.99849477442393,97.99836993705276,205.9986249515237
31,1988,139.99876017355464,86.99838756816033,100.99857745957742,141.99858383211605,66.998483127634,177.9986330877298
32,1987,70.9984607713819,82.9986071853114,153.99855833431434,124.99868017040498,66.9983478521336,108.99842340076987
33,1986,115.99854607271382,135.9984690053896,140.99867304827242,95.99850141177998,163.9986323347755,145.99867609047425
34,1985,100.99857056780341,80.99844835858646,184.99870549410065,138.99868587787205,132.99862793681189,182.99866647668398
35,1984,89.99851037233462,141.99872430022342,127.99855576365007,113.9986773715434,78.99834125767309,134.99855134366055
36,1983,111.9986014878637,142.99869297558473,162.99868816783786,116.99856745746882,94.99863115913999,226.99873496048332
37,1982,119.998629318157,85.99863093733727,187.9986919260427,134.99868965062734,192.99855428599156,128.99856353224135
38,1981,87.99860836153076,122.99851047665479,110.99858728906469,83.99855641418092,181.99859115719343,150.99858979183372
39,1980,111.9984592796163,90.99852704059711,104.99859340109279,139.99875077116357,128.9984559431273,203.99866600214742
40,1979,162.99863576603468,106.99856293639051,152.99861585554567,135.99876042023075,145.99857626791365,259.99876532179974
41,1978,90.99852695886597,114.99845720640202,150.9985408924932,167.99873579542063,117.99857088679457,183.99876183326128
